time,vC2_true,iL_true,vC2_EKF,iL_EKF,vC2_UKF,iL_UKF,vC1_meas
24.7,0.5874,0.003243,-0.5258192290353962,0.0037621931018940354,0.5893754170529467,0.003226735371283914,-3.305
24.71,0.6351,0.003149,-0.47144622129994707,0.003668327227476262,0.6437461387449441,0.0031328688224231665,-3.173
24.72,0.6743,0.002988,-0.4516296715201648,0.003461245339849769,0.6635623182866279,0.002925764030654237,-3.076
24.73,0.7215,0.002835,-0.4071082030134288,0.0033573307300812263,0.7080784691900646,0.002821844182149945,-2.943
24.74,0.7548,0.002756,-0.3767327950002105,0.003209318049482346,0.7384539167971148,0.0026738354413552504,-2.833
24.75,0.7902,0.002505,-0.3345281331959962,0.003110970300831752,0.7806598908827048,0.0025755107666935004,-2.707
24.76,0.8127,0.002563,-0.3037613627350698,0.0029765982934716107,0.8114322550345837,0.0024411640575820615,-2.596
24.77,0.8239,0.002233,-0.28677237872601186,0.002806376921569555,0.8284259956560232,0.0022709518678157006,-2.492
24.78,0.8369,0.002086,-0.25912593537183043,0.002687763017879211,0.8560745040098124,0.0021523516213947016,-2.375
24.79,0.8588,0.001947,-0.2674917880069632,0.0024591236707430316,0.847711378975833,0.0019236961263020816,-2.295
24.8,0.8528,0.001766,-0.2602141613634738,0.002312214523403296,0.8549850062122296,0.0017767736015071303,-2.19
24.81,0.8474,0.001605,-0.2521767534880557,0.0021828983263881673,0.8630212338734743,0.0016474614412326659,-2.096
24.82,0.8351,0.001491,-0.2783460023559455,0.0019549229316387987,0.8368526374262385,0.0014194682600099187,-2.035
24.83,0.8197,0.00131,-0.3199235128484679,0.001711433668124479,0.7952692808541945,0.001175936878595964,-1.978
24.84,0.8002,0.001139,-0.36150864623099116,0.0015078720186540247,0.7536743602511845,0.0009723368604932803,-1.923
24.85,0.7792,0.0009364,-0.39062261073275595,0.001378645105591838,0.7245531393175652,0.0008431062009906876,-1.867
24.86,0.7476,0.0008191,-0.4054635369669959,0.001315866876715901,0.7097133746007548,0.000780370596839865,-1.813
24.87,0.6998,0.0007356,-0.43940298981472853,0.0011985331837286663,0.6757836188805066,0.0006630841901858875,-1.788
24.88,0.6699,0.0006066,-0.47035055541954557,0.0011110034133318238,0.6448454054768128,0.0005755979990973699,-1.759
24.89,0.607,0.000408,-0.22073644835018208,0.0019386846809846961,0.6003948624087424,0.00045951088577587235,-1.75
24.9,0.5621,0.000357,-0.18945781136994314,0.0019121749911968832,0.5390796815810581,0.0003114501681245847,-1.757
24.91,0.4996,0.0001425,-0.2695657571092079,0.0015129639790151216,0.4799680376413053,0.00020195558106323643,-1.764
24.92,0.4446,0.0001964,-0.109597643434551,0.0019664034654132325,0.43352799010036597,0.0001589487815685761,-1.771
24.93,0.3769,7.726e-05,-0.18366319979866932,0.001581162251882412,0.3692009295716106,7.088806412646583e-05,-1.807
24.94,0.3105,8.586e-05,-0.39715396328249386,0.0008079842847806447,0.278342299628692,-7.924989405916396e-05,-1.866
24.95,0.2418,3.529e-06,-0.6352054221036537,0.00011311392432246565,0.21033203030569933,-0.0001158954216178656,-1.905
24.96,0.1786,1.015e-06,-0.8765026059304141,-0.00044217544039786667,0.13562523685195482,-0.0001566341964501648,-1.97
24.97,0.09885,-0.0001014,-1.077353855207933,-0.0007402808960274141,0.06841658329713037,-0.00015286005143460278,-2.035
24.98,0.02368,-9.584e-05,-1.2428448785891737,-0.0008459670494475146,-0.007211398806338195,-0.00016405307945353332,-2.119
24.99,-0.05019,-0.0001317,-1.3822237760322076,-0.0008243924547560275,-0.09990944946623864,-0.00021371682371377414,-2.222
25.0,-0.1283,-2.817e-05,-1.4819442795630657,-0.0006544224931748266,-0.18907090934728155,-0.00022510093833016118,-2.324
25.01,-0.1949,-3.489e-05,-1.5159596823575547,-0.00028014851814481723,-0.23865391386451926,-8.736672555561624e-05,-2.404
25.02,-0.2707,-3.853e-06,-1.5236922791346375,0.0001277666215432962,-0.2776794561879526,7.493855637199528e-05,-2.499
25.03,-0.3458,0.0001247,-1.5703574318545268,0.00034888453838301784,-0.362029431148126,7.526094037631182e-05,-2.64
25.04,-0.4206,4.467e-05,-1.6018411976480946,0.0005969546316646325,-0.43050952043199525,0.00014687638608656744,-2.753
25.05,-0.4844,0.0002745,-1.6457648317194813,0.0007760802681825306,-0.5060436271001536,0.00020154598945679218,-2.885
25.06,-0.5399,0.000281,-1.6612851545430378,0.0010326821345918067,-0.5454279385874853,0.0003839459347319834,-2.989
25.07,-0.6051,0.0004356,-1.7339471866780727,0.0010721519133635147,-0.63363943210996,0.0003917360070537758,-3.153
25.08,-0.6574,0.0004608,-1.7942252141835013,0.0011654537215810654,-0.7019488161642792,0.00048517394325252913,-3.283
25.09,-0.713,0.0006933,-1.813167535714889,0.0013958931705625281,-0.722905603395264,0.0007363807549205135,-3.387
25.1,-0.7666,0.0007885,-1.848857118046784,0.0015458533664974928,-0.7564015116248173,0.0009175395005773273,-3.523
25.11,-0.8009,0.0009174,-1.8914214428165927,0.0016634959776984284,-0.7943408971291732,0.0010687480763744072,-3.656
25.12,-0.8448,0.001203,-1.9296250212894492,0.0017918022103801208,-0.8269811127510711,0.0012274313811735061,-3.782
25.13,-0.8645,0.001227,-1.9528743278730452,0.001962717639175115,-0.8448304781835392,0.0014223769206815108,-3.897
25.14,-0.8805,0.001444,-1.988098403009549,0.0020793932768491175,-0.875513454324314,0.00155553774343254,-4.027
25.15,-0.9098,0.00166,-2.0232176232543635,0.0021918856295989786,-0.907292307444113,0.0016772523950156048,-4.15
25.16,-0.9175,0.001838,-2.041721984787142,0.0023543815753835668,-0.9237084124035445,0.001842932939407235,-4.258
25.17,-0.9282,0.001924,-2.026758908225704,0.0026105221986106957,-0.9077637807833564,0.002097883403989814,-4.343
25.18,-0.936,0.002151,-2.031490350995828,0.0027667382056227987,-0.9123708873239104,0.0022501708136832385,-4.454
25.19,-0.9197,0.002434,-2.036595556029863,0.0029051712572581625,-0.9179394644488458,0.0023834052481497806,-4.551
25.2,-0.9129,0.002501,-2.009312680063619,0.0031348315463681532,-0.8914411892222717,0.0026077827709650946,-4.616
25.21,-0.8973,0.002788,-1.9753849400390187,0.003351506846171679,-0.858393360687291,0.002819853582862172,-4.683
25.22,-0.8618,0.00288,-1.9315717492933349,0.003566333460096791,-0.8154017359584298,0.0030311548213936917,-4.736
25.23,-0.8301,0.003053,-1.9046110150222844,0.003690715674746373,-0.7891115985963412,0.0031531781821849797,-4.798
25.24,-0.7985,0.00307,-1.882539604029244,0.003780553697830298,-0.7675255084908273,0.0032417341181367482,-4.848
25.25,-0.7492,0.00331,-1.8335828319073169,0.003944849641729987,-0.7188659365700467,0.003405659452906856,-4.866
25.26,-0.7071,0.003535,-1.7782658944708982,0.004099720801833037,-0.6636754685530547,0.0035608156152043165,-4.882
25.27,-0.6338,0.003578,-1.7302487010796044,0.004200700329101874,-0.6156561671293298,0.003662454211326826,-4.897
25.28,-0.5854,0.003677,-1.674694768214024,0.004305315644862842,-0.5600192761446001,0.0037678836813622987,-4.893
25.29,-0.5251,0.003802,-1.6083457121578375,0.004421598355861525,-0.49354431666291526,0.003884978718868837,-4.874
25.3,-0.4546,0.003944,-1.542247417613997,0.004509286073765081,-0.4273079851833104,0.003973360904936516,-4.85
25.31,-0.3792,0.00395,-1.468063383602641,0.004599428560389932,-0.3529981850871341,0.004064027611055662,-4.809
25.32,-0.305,0.004039,-1.406583223329292,0.004622064776940301,-0.2914173522078254,0.004086987109171825,-4.772
25.33,-0.2374,0.004069,-1.3367084559143134,0.004658084049897212,-0.2214759315994962,0.004123158648124902,-4.713
25.34,-0.151,0.004098,-1.255105976984238,0.004713960292217476,-0.13983571355211125,0.004179068349630605,-4.639
25.35,-0.07377,0.004257,-1.153770244687737,0.004809719054130364,-0.038483216790274485,0.004274797722222202,-4.544
25.36,0.01595,0.004119,-1.0659810842967201,0.004826784134518871,0.04930960803448588,0.004291777222419215,-4.458
25.37,0.0894,0.00421,-0.9742540348688502,0.0048362630105388315,0.1410264787107809,0.004301142013567943,-4.352
25.38,0.1693,0.004157,-0.906524565170089,0.004747299820590035,0.20873772969233068,0.004212036288427132,-4.258
25.39,0.2493,0.004171,-0.8477883966553938,0.004627950164270937,0.2674468088318108,0.004092536316924322,-4.153
25.4,0.3264,0.004087,-0.7541076169993446,0.004626558709967889,0.36109956509761854,0.004091056451261827,-4.009
25.41,0.401,0.003982,-0.6850484011123876,0.004524029019494549,0.43014277793639144,0.0039884727770740265,-3.894
25.42,0.4768,0.003949,-0.5999655802378628,0.004472320326947284,0.5152139095949442,0.003936753213653929,-3.748
25.43,0.5574,0.00378,-0.5328778349837288,0.004349457449500508,0.5822985128566034,0.0038138952870532304,-3.618
25.44,0.621,0.003688,-0.4506428586268715,0.0042771007892883324,0.6645329351332696,0.003741569329854491,-3.462
25.45,0.679,0.003524,-0.4117911330975056,0.0040540122832226294,0.7033887965007393,0.0035184837697430794,-3.344
25.46,0.7413,0.003398,-0.3547002811759187,0.0039116418900869325,0.760477358554046,0.003376118829285694,-3.189
25.47,0.8037,0.003298,-0.3026931265763666,0.00375766693946803,0.8124855041941226,0.003222159265732388,-3.045
25.48,0.8607,0.003052,-0.27419849397121804,0.003534746904190288,0.8409821282404225,0.0029992385499283867,-2.917
25.49,0.9037,0.003023,-0.23710489359050646,0.003362082146388897,0.8780744999687081,0.002826578002106701,-2.772
25.5,0.9277,0.002797,-0.21645461777110972,0.0031486051431557035,0.8987255686915929,0.002613101808416096,-2.646
25.51,0.9638,0.002673,-0.19218158547067313,0.0029688056897675774,0.9229985164539685,0.0024333106116903123,-2.512
25.52,0.9873,0.002409,-0.1481715322336313,0.0028688665419000325,0.9670119625703284,0.002333413614690853,-2.366
25.53,1.008,0.002195,-0.10862437739505376,0.002753946930086683,1.0065701624792416,0.002218552097732619,-2.234
25.54,1.023,0.002077,-0.08941626156422575,0.0025758100491030307,1.0257907909739326,0.0020404514441343833,-2.118
25.55,1.023,0.001888,-0.08750802892688482,0.0023581649255794445,1.0277057743062756,0.0018228059272086335,-2.01
25.56,1.022,0.001589,-0.08921323985866879,0.0021549254516578893,1.0260003293818307,0.0016195465185521083,-1.902
25.57,1.005,0.001449,-0.12055718302659665,0.0018801002945675026,0.9946520382887486,0.0013446710660234256,-1.823
25.58,0.9914,0.001259,-0.14618273683189215,0.0016654022644905576,0.9690156994429973,0.0011299257535025717,-1.734
25.59,0.9749,0.00105,0.13463305324629388,0.0024653105812347947,0.9597673010999959,0.0009987929301872606,-1.641
25.6,0.9418,0.0008189,0.49744227849516587,0.0033686834456321995,0.9364108859021598,0.0008373458879282539,-1.562
25.61,0.9111,0.0006383,0.8290020569572977,0.0039846330592052046,0.8970666556597581,0.0006459545489178985,-1.488
25.62,0.8591,0.0006523,1.0996002392173678,0.004259406997917776,0.869273356403327,0.0005207910883020504,-1.396
25.63,0.8128,0.0004304,1.2233814121231106,0.003972332039111642,0.7958138074196818,0.0002628056576882435,-1.349
25.64,0.7667,0.000301,1.25922671438929,0.0034301635162939255,0.739522798084714,0.00010539003910902675,-1.272
25.65,0.7011,-1.813e-06,1.2058833031185763,0.0026845013223060167,0.6832028706192795,-2.685351255968562e-05,-1.208
25.66,0.6419,-0.0001647,1.0982742947659494,0.0018924736979485822,0.6357027399605683,-0.00010980031667851911,-1.142
25.67,0.5807,-9.886e-05,0.9342638332760544,0.0010604095485927112,0.5677338253884738,-0.0002456833042307412,-1.103
25.68,0.5283,-0.0003227,0.7402844992547493,0.0002856080639328381,0.4825437593897561,-0.0004116389455822444,-1.079
25.69,0.4512,-0.0003155,0.5794738876032461,-0.00023661454262670006,0.42586584222350393,-0.0004541455503125564,-1.035
25.7,0.388,-0.000413,0.4328535454415755,-0.0006122157408928073,0.36734564275141124,-0.0004933452323076005,-1.015
25.71,0.3225,-0.0004785,0.29297032190950245,-0.0008897926083925348,0.29372255412621745,-0.0005707419062678843,-1.018
25.72,0.2369,-0.0005704,0.17047156791458692,-0.0010509885635056086,0.21445801134532533,-0.0006465616411667483,-1.033
25.73,0.1746,-0.0005533,0.038609812156291286,-0.0012008084655241696,0.10497491079722863,-0.0007969874078403784,-1.088
25.74,0.1009,-0.0006172,-0.04611463044613878,-0.0011579530577411287,0.02594961878402124,-0.000810598524337328,-1.125
25.75,0.0313,-0.0006691,-0.09640533626831412,-0.0009996828416063736,-0.03037091561358716,-0.0007375374044665315,-1.175
25.76,-0.03979,-0.0006614,-0.15459035502741436,-0.0008828056738315355,-0.10149074609297386,-0.0007130006002259734,-1.265
25.77,-0.1308,-0.000684,-0.20712355639345942,-0.0007542140555751843,-0.1697587991519325,-0.0006687882644391641,-1.366
25.78,-0.1922,-0.0006027,-0.28464294918475874,-0.0007120015434721197,-0.2627371657819295,-0.0006941498746100063,-1.511
