time,x,y,z,xref,yref,zref,ux,uy,uz,dx_dt,dy_dt,dz_dt,rx_est,ry_est,rz_est
37.596783,2.456,-0.4297,-0.001173,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-4.149700331988527,0.24529401961211406,0.007749940619999111,-5.528645694815446e-05,-0.0005063389410179713,-0.024533104386446458
37.606781,2.422,-0.4199,-0.001097,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-4.649500371980423,0.9750020780002799,0.007150180572008821,-8.412094420013296e-05,-0.00042072461133450486,-0.046088559695378783
37.616783,2.363,-0.4102,-0.00103,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-4.649500371979656,1.4651981172075494,0.006544938523596576,-0.00010364990116364838,-0.00035568026949409705,-0.068030613986371
37.626781,2.329,-0.3906,-0.0009661,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-3.1499678890740768,1.2253063694396609,0.006844431145342479,-7.808224676127106e-05,-0.0004320659232474204,-0.032773139721495204
37.636784,2.3,-0.3857,-0.0008931,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-1.949427796055474,0.7300835810694757,0.007004503157744993,-5.157596895541943e-05,-0.0005767162721711979,-0.019504574913091766
37.646782,2.29,-0.376,-0.000826,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-1.4502900580120013,2.195439087818542,0.006421284256851484,-4.465721156545713e-05,-0.00036007103608390296,-0.04029525905180442
37.65678,2.271,-0.3418,-0.0007647,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-2.199880175995517,3.175098254004663,0.005255350420415424,-9.211402090139659e-05,-0.00020774713165984263,-0.06705028002068164
37.666782,2.246,-0.3125,-0.0007209,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-0.7494375881041435,2.6847923848667694,0.005400036225871853,-7.172934597658868e-05,-0.0003100912362975978,-0.03018610611141953
37.676781,2.256,-0.2881,-0.0006567,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,0.0002999700089532098,2.684792384866773,0.005544985487107058,-6.138954826436046e-05,-0.00036568394400829645,0.0017918412659569949
37.686783,2.246,-0.2588,-0.00061,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,0.2505000200196008,2.199708175988203,0.004815058385201545,-7.368925396325611e-05,-0.0004789248379699427,-0.007068747621663207
37.696781,2.261,-0.2441,-0.0005604,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,1.6999201359965923,3.4192202735688575,0.003650524292020004,-3.529941307834908e-05,-0.0003023627112483337,-0.05325059001319418
37.706783,2.28,-0.1904,-0.000537,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,2.1999800954875184,4.394487987973431,0.0024799181135841328,-4.7903789401982304e-05,-0.00012401183995215486,-0.06074988102182155
37.716782,2.305,-0.1562,-0.0005108,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,2.949717653600601,3.659745181022587,0.0027698166360545368,-3.9930802807506866e-05,-0.0002810810015151787,-0.011393986267068834
