# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:15:00 1997
# 
# Experiment: Data Acquisition from Chua's Circuit.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

0.576782 -3.394e+00 4.102e-01 2.542e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.586782 -3.271e+00 4.639e-01 2.475e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.596783 -3.125e+00 5.322e-01 2.384e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.606783 -2.988e+00 5.859e-01 2.282e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.616782 -2.842e+00 6.299e-01 2.189e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.626783 -2.705e+00 6.738e-01 2.084e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.636782 -2.573e+00 7.178e-01 1.970e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.646781 -2.427e+00 7.471e-01 1.859e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.656783 -2.305e+00 7.715e-01 1.742e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.666782 -2.168e+00 8.057e-01 1.608e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.676782 -2.041e+00 8.301e-01 1.471e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.686784 -1.938e+00 8.398e-01 1.340e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.696783 -1.821e+00 8.594e-01 1.202e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.706783 -1.714e+00 8.447e-01 1.071e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.716783 -1.616e+00 8.398e-01 9.398e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.726784 -1.519e+00 8.398e-01 8.026e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.736782 -1.421e+00 8.252e-01 6.684e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.746782 -1.309e+00 8.008e-01 5.516e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
