time,x,y,z,xref,yref,zref,ux,uy,uz,dx_dt,dy_dt,dz_dt,rx_est,ry_est,rz_est
42.350235,2.217,-0.2979,-0.0005224,-7.419e-06,-7.419e-06,-0.007419,-8.547e-06,-8.547e-06,0.01961,-0.499800039992067,4.395002351599404,0.003938540315142087,-7.968123859687294e-05,-0.00016511529815163844,-0.09199311232437168
42.360233,2.217,-0.2539,-0.0005195,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941,-0.7497000599881147,2.930588234422631,-0.0008745340699815689,-0.00011351328497241685,-0.0004135104985267844,-0.29962064117863646
42.370235,2.202,-0.2393,-0.0005399,-0.0004778,-0.0004778,-0.4778,-0.0004799,-0.0004799,-0.451,0.000449955013451131,1.4649283194274325,-0.003065154364825521,-0.00010312153100383238,-0.0006474442112663308,-0.39954627019307826
42.380234,2.217,-0.2246,-0.0005808,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451,1.0001000125020596,1.4652192901459653,-0.0035054673288534705,-7.8287759681765e-05,-0.0006066695256903315,-0.4078658319524594
42.390232,2.222,-0.21,-0.00061,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549,0.9498200759928181,1.7099001367962412,-0.0010207600816313882,-8.736639182768779e-05,-0.0005263185656925063,-0.26336533706768894
42.400234,2.236,-0.1904,-0.0006012,7.395e-06,7.395e-06,0.007395,6.105e-06,6.105e-06,0.01961,3.1493701259747837,3.1743651269745845,0.0030643871225754654,-2.9529233655959335e-05,-0.00025996658318067805,-0.03019384123175467
42.410236,2.285,-0.1465,-0.0005487,0.0002999,0.0002999,0.2999,0.0002991,0.0002991,0.3333,4.1495677195896405,4.149720704294204,0.007880395295369144,-1.4219862165279728e-05,-0.00013448900404928413,0.26548706604189887
42.420235,2.319,-0.1074,-0.0004436,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902,5.401010208542871,4.640269024501443,0.010656613047421507,8.040198432643185e-06,-0.00014549481979969322,0.44972773011919637
42.430233,2.393,-0.05371,-0.0003356,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902,6.851370274054759,6.591818363673928,0.008901780356070303,3.6883919306872386e-05,9.657286905101936e-05,0.4116750770153555
42.440231,2.456,0.02441,-0.0002656,0.000288,0.000288,0.288,0.0002869,0.0002869,0.2941,6.549900523997238,6.104183888309274,0.004376050350043967,-4.235035863627039e-06,-5.48944326728949e-05,0.25318991230029864
42.450233,2.524,0.06836,-0.0002481,-7.371e-06,-7.371e-06,-0.007371,-8.547e-06,-8.547e-06,0.01961,7.099735328203693,5.369524100787905,-0.001605926225606456,1.8923587155502124e-06,-0.00022312266281725537,-0.015597823074705516
42.460232,2.598,0.1318,-0.0002977,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941,6.349997770090525,4.392366150047154,-0.007148985905256035,-4.1402716940493824e-05,-0.00036119519282022585,-0.2419489831267855
42.470234,2.651,0.1562,-0.0003911,-0.0004778,-0.0004778,-0.4778,-0.0004799,-0.0004799,-0.451,6.098780243951211,2.4445110977804276,-0.010357928414317066,-5.122437432597161e-05,-0.0006464121293732912,-0.38531249750049623
42.480236,2.72,0.1807,-0.0005049,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451,6.349780507990403,2.1999001759957357,-0.010649708851986902,-4.2245302279366386e-05,-0.0006046108405449945,-0.3760667787818752
42.490234,2.778,0.2002,-0.0006041,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549,6.800920157030276,1.4652683048487525,-0.007006342530145326,-2.6805400956049556e-05,-0.0006647710681311294,-0.16609158747599767
42.500233,2.856,0.21,-0.000645,7.347e-06,7.347e-06,0.007347,6.105e-06,6.105e-06,0.01961,8.549347928559257,2.4394401596700845,-0.002485357319884706,3.8187304725771924e-05,-0.00048382986452422805,0.08006551931642755
42.510235,2.949,0.249,-0.0006538,0.0002999,0.0002999,0.2999,0.0002991,0.0002991,0.3333,9.049900723997695,4.635294370813,0.00043552603482166496,5.160631206516374e-05,-9.975666902098032e-05,0.27176930110047665
42.520233,3.037,0.3027,-0.0006363,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902,9.99952079998235,5.614902449197118,0.0026296482103860853,6.860995320555032e-05,4.405649827690281e-05,0.4401780084389846
42.530235,3.149,0.3613,-0.0006012,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902,10.49926551967124,6.104768532597548,0.0017543858859846717,7.471096796313019e-05,6.795693444986589e-05,0.45301929411927866
42.540234,3.247,0.4248,-0.0006012,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941,9.301345240797247,4.885586340404217,-0.0017554388509339013,2.345728853431786e-05,-0.000178944918197666,0.33302565687317565
42.550232,3.335,0.459,-0.0006363,-7.323e-06,-7.323e-06,-0.007323,-8.547e-06,-8.547e-06,0.01961,10.249420819975683,3.659904292795673,-0.007148544571941758,5.207008684939273e-05,-0.0004034893065924486,0.0852740897788849
42.560234,3.452,0.498,-0.0007442,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941,8.54874068395003,2.194318175572459,-0.012985879038838646,4.729420783291377e-06,-0.0006142249231827891,-0.18090175615048443
42.570232,3.506,0.5029,-0.000896,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451,5.599620723887028,0.7348408559398294,-0.01603877008776608,-7.451857902101663e-05,-0.0007626523894985957,-0.33560690018841066
42.580235,3.564,0.5127,-0.001065,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451,7.050273336286608,-0.24560022002680526,-0.015448504542031068,-2.315538925938421e-05,-0.0008044327732219122,-0.2949478174573842
42.590233,3.647,0.498,-0.001205,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549,7.350380588017089,-0.7352940588122117,-0.012400640992028776,1.3992930576152727e-05,-0.000813718036968864,-0.1503055110632644
42.600235,3.711,0.498,-0.001313,7.419e-06,7.419e-06,0.007419,6.105e-06,6.105e-06,0.01961,7.8505806280215324,0.4901960392076177,-0.00729860058394393,4.396359217877837e-05,-0.0005165217071732754,0.1164291614714113
42.610233,3.804,0.5078,-0.001351,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333,7.8006006240223655,1.954610156384394,-0.0033501802680065557,5.824321697420255e-05,-0.00025645746914122476,0.33265257558861727
42.620235,3.867,0.5371,-0.00138,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902,7.8000603254596115,3.1749148934427787,-0.001449492612352013,5.5375387247009474e-05,-2.1112364814677054e-05,0.46132052622623676
42.630234,3.96,0.5713,-0.00138,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902,8.551207712668997,2.200208023903656,-0.0004501125258809663,7.921641301214478e-05,-0.00023716440331578273,0.5477681171469431
42.640232,4.038,0.5811,-0.001389,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941,7.300200584009673,0.49019603920813637,-0.003648900291955609,5.3806150802290515e-05,-0.0005863077203232088,0.3903354927365607
42.650234,4.106,0.5811,-0.001453,-7.395e-06,-7.395e-06,-0.007395,-8.547e-06,-8.547e-06,0.01961,6.0994853107016525,0.48512125848849763,-0.009650492860837481,3.3442139386484515e-05,-0.0005638951465464712,0.0765722332354164
42.660233,4.16,0.5908,-0.001582,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941,4.400080178978527,-0.7344518360421652,-0.01444881323276137,-1.1008552921426757e-05,-0.0006877272912535863,-0.1645839558087645
42.670235,4.194,0.5664,-0.001742,-0.0004778,-0.0004778,-0.4778,-0.0004799,-0.0004799,-0.451,3.4500202760002594,-3.41539027321479,-0.015749901259993662,-1.7146006335027814e-05,-0.001060216817254989,-0.25700483787246864
42.680233,4.229,0.5225,-0.001897,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451,1.7507001400272202,-4.394998351599252,-0.014750301180009515,-3.3977726231462435e-05,-0.0011341928656049384,-0.24864574569089748
42.690235,4.229,0.4785,-0.002037,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549,0.7002800560116214,-4.394998351600805,-0.011549020923962136,-3.9337327790829344e-05,-0.0010204929253780897,-0.12528281390474055
42.700233,4.243,0.4346,-0.002128,7.371e-06,7.371e-06,0.007371,6.105e-06,6.105e-06,0.01961,1.9502375371322387,-2.685573375015796,-0.00700126025555628,2.7834878436709452e-05,-0.0006468321374704752,0.06857411383951767
42.710232,4.268,0.4248,-0.002177,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333,1.9500675761164246,-1.7096956031066632,-0.001900805000263725,3.950571217750233e-05,-0.00043751017936994967,0.32542591458621245
42.720234,4.282,0.4004,-0.002166,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902,1.7001201360044433,-1.9548061563920882,0.002600600208023149,4.981507577066246e-05,-0.00051695547749786,0.5363593788754502
42.730232,4.302,0.3857,-0.002125,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902,1.2503001000116,-1.220100097603737,0.0026505802120223576,4.9698683388527656e-05,-0.0004423352164894313,0.5242723334845288
42.740234,4.307,0.376,-0.002113,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941,-0.250212489379976,-1.7051353089323058,-0.0010006099815128011,1.1434844822927221e-05,-0.0005531443625906756,0.3236881101665108
42.750233,4.297,0.3516,-0.002145,-7.347e-06,-7.347e-06,-0.007347,-8.547e-06,-8.547e-06,0.01961,-1.2498625668641523,-2.9297066538503866,-0.005848912857310901,-6.437316223145555e-06,-0.0007570320964967714,0.04581883581978613
42.760235,4.282,0.3174,-0.00223,-0.0002999,-0.0002999,-0.2999,-0.0003016,-0.0003016,-0.2941,-3.6508602920360147,-4.395390351616893,-0.009350340748015828,-6.185199794075785e-05,-0.0009555393805213026,-0.17143581430626753
42.770233,4.224,0.2637,-0.002332,-0.0004778,-0.0004778,-0.4778,-0.0004799,-0.0004799,-0.451,-4.850380388016589,-6.104706488389175,-0.010200000816002044,-7.940576674777823e-05,-0.0011682182223920726,-0.2695560426605869
42.780235,4.185,0.1953,-0.002434,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451,-5.150117707100634,-6.104474561988773,-0.010049452981804305,-5.663162778764971e-05,-0.0010837483986094795,-0.33008540188872904
42.790234,4.121,0.1416,-0.002533,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549,-6.349697800081628,-6.834718943590943,-0.005700975144748224,-7.558357669147083e-05,-0.001114125150933468,-0.15644698056743717
42.800236,4.058,0.05859,-0.002548,7.443e-06,7.443e-06,0.007443,6.105e-06,6.105e-06,0.01961,-5.849820467992089,-6.346719107768356,0.0007008800560344419,-2.556172399195247e-05,-0.0010205129313151362,0.09523200932948063
42.810234,4.004,0.01465,-0.002519,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333,-5.899800471991227,-4.394500151559319,0.005249060419962301,-1.3371271342373027e-05,-0.0006811679430128523,0.2890708787556291
42.820236,3.94,-0.0293,-0.002443,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902,-5.849542794329665,-2.929414183091659,0.008899945383700175,-4.809639932417537e-07,-0.00047326352820966646,0.4359891446598452
42.830235,3.887,-0.04395,-0.002341,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902,-5.850932677413056,-1.9533418183624713,0.008901205205791934,-4.100748075950379e-06,-0.0003711816043093536,0.42140500815880233
42.840233,3.823,-0.06836,-0.002265,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941,-6.849820547994,-2.927305634192608,0.006450460516020176,-3.4511305004524684e-05,-0.0006042852120181623,0.26887007577753486
42.850235,3.75,-0.1025,-0.002212,-7.419e-06,-7.419e-06,-0.007419,-8.547e-06,-8.547e-06,0.01961,-8.050300644010548,-2.931807434551983,0.0015985201279416633,-6.727650970695138e-05,-0.0006348930115563749,-0.01892936771120983
42.860233,3.662,-0.127,-0.002233,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941,-10.001380239046341,-5.130501560684855,-0.0017502975586368985,-0.00013191781678262147,-0.0009840148732853443,-0.21850555636553706
42.870232,3.55,-0.2051,-0.002247,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451,-10.249772958312775,-6.590036776390425,-0.002899405182716544,-0.00011878737393904013,-0.0012206416087225697,-0.35668090295242094
42.880234,3.457,-0.2588,-0.002291,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451,-9.798040391921546,-5.858828234353089,-0.002799440111977594,-9.47178895942248e-05,-0.0010174385681142235,-0.4051547290541886
