# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:16:54 1997
# 
# Experiment: Chua's Circuit Perturbation.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

0.900233 3.667e+00 6.348e-01 -1.010e-03 7.334e-06 7.334e-06 7.334e-03 6.105e-06 6.105e-06 1.961e-02
0.910234 3.789e+00 6.689e-01 -1.094e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.920234 3.906e+00 6.934e-01 -1.129e-03 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
0.930234 4.038e+00 7.275e-01 -1.150e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.940234 4.160e+00 7.617e-01 -1.202e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.950234 4.248e+00 7.812e-01 -1.290e-03 -7.341e-06 -7.341e-06 -7.341e-03 -8.547e-06 -8.547e-06 1.961e-02
0.960234 4.341e+00 8.008e-01 -1.459e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.970234 4.409e+00 7.666e-01 -1.643e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.980234 4.468e+00 7.275e-01 -1.839e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.990236 4.521e+00 7.031e-01 -2.026e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.000233 4.561e+00 6.592e-01 -2.151e-03 7.330e-06 7.330e-06 7.330e-03 6.105e-06 6.105e-06 1.961e-02
1.010234 4.609e+00 6.445e-01 -2.227e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
1.020234 4.658e+00 6.104e-01 -2.241e-03 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
1.030235 4.683e+00 6.104e-01 -2.256e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
1.040234 4.717e+00 5.908e-01 -2.279e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
1.050233 4.722e+00 5.664e-01 -2.341e-03 -7.336e-06 -7.336e-06 -7.336e-03 -8.547e-06 -8.547e-06 1.961e-02
1.060234 4.736e+00 5.225e-01 -2.446e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
1.070234 4.697e+00 4.492e-01 -2.583e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
1.080235 4.648e+00 3.809e-01 -2.732e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
1.090235 4.590e+00 2.930e-01 -2.837e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.100233 4.507e+00 2.197e-01 -2.895e-03 7.331e-06 7.331e-06 7.331e-03 6.105e-06 6.105e-06 1.961e-02
1.110233 4.463e+00 1.562e-01 -2.878e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
1.120235 4.395e+00 1.123e-01 -2.831e-03 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
1.130233 4.331e+00 6.836e-02 -2.749e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
1.140233 4.268e+00 2.930e-02 -2.679e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
1.150235 4.170e+00 -1.953e-02 -2.650e-03 -7.374e-06 -7.374e-06 -7.374e-03 -8.547e-06 -8.547e-06 1.961e-02
1.160234 4.072e+00 -7.812e-02 -2.665e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
1.170234 3.955e+00 -1.660e-01 -2.694e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
